time	V(vin)-V(vout)	V(vout)
7.495915020772506e-002	1.539852e-001	8.768813e-006
7.499223794448698e-002	2.926058e-002	1.633873e-006
7.504714514654323e-002	-1.778516e-001	1.279836e-004
7.508660107926410e-002	-3.279355e-001	1.515084e-003
7.510890720719091e-002	-4.174372e-001	6.982058e-003
7.512583233031092e-002	-4.958648e-001	2.166595e-002
7.514572715095405e-002	-6.054589e-001	5.635679e-002
7.516657427909548e-002	-7.361904e-001	1.086329e-001
7.519640484968754e-002	-9.376936e-001	1.979411e-001
7.522473113434922e-002	-1.136591e+000	2.903877e-001
7.528138370367260e-002	-1.543829e+000	4.850261e-001
7.536175230805012e-002	-2.128221e+000	7.686706e-001
7.546175230805011e-002	-2.858594e+000	1.126607e+000
7.556175230805010e-002	-3.588060e+000	1.486098e+000
7.566175230805008e-002	-4.314004e+000	1.845054e+000
7.586175230805006e-002	-5.747758e+000	2.555874e+000
7.606175230805004e-002	-7.148329e+000	3.251648e+000
7.636175230805001e-002	-9.167048e+000	4.255904e+000
7.666175230804997e-002	-1.106276e+001	5.199903e+000
7.696175230804994e-002	-1.281031e+001	6.070657e+000
7.726175230804991e-002	-1.438686e+001	6.856525e+000
7.756175230804988e-002	-1.577195e+001	7.547150e+000
7.786175230804984e-002	-1.694768e+001	8.133499e+000
7.816175230804981e-002	-1.789887e+001	8.607941e+000
7.846175230804978e-002	-1.861328e+001	8.964315e+000
7.876175230804974e-002	-1.908172e+001	9.198005e+000
7.906175230804971e-002	-1.929816e+001	9.305984e+000
7.936175230804968e-002	-1.925982e+001	9.286858e+000
7.966175230804964e-002	-1.896720e+001	9.140871e+000
7.996175230804961e-002	-1.842405e+001	8.869915e+000
8.026175230804958e-002	-1.763736e+001	8.477496e+000
8.056175230804955e-002	-1.661725e+001	7.968702e+000
8.086175230804951e-002	-1.537688e+001	7.350143e+000
8.116175230804948e-002	-1.393224e+001	6.629879e+000
8.146175230804945e-002	-1.230202e+001	5.817349e+000
8.176175230804941e-002	-1.050743e+001	4.923298e+000
8.206175230804938e-002	-8.572000e+000	3.959755e+000
